ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
33024;Andreas Erm;M;28;187;70;Allemagne;GER;2004 Summer;2004;Summer;Athina;Athletics;Athletics Men's 50 kilometres Walk;NA;Grèce
33034;Gianina Ernst;F;15;153;44;Allemagne;GER;2014 Winter;2014;Winter;Sochi;Ski Jumping;Ski Jumping Women's Normal Hill, Individual;NA;Russie
33037;Sebastian Ernst;M;19;182;72;Allemagne;GER;2004 Summer;2004;Summer;Athina;Athletics;Athletics Men's 200 metres;NA;Grèce
33039;Nadine Ernsting-Krienke;F;18;172;67;Allemagne;GER;1992 Summer;1992;Summer;Barcelona;Hockey;Hockey Women's Hockey;Silver;Espagne
33039;Nadine Ernsting-Krienke;F;22;172;67;Allemagne;GER;1996 Summer;1996;Summer;Atlanta;Hockey;Hockey Women's Hockey;NA;États-Unis
33039;Nadine Ernsting-Krienke;F;26;172;67;Allemagne;GER;2000 Summer;2000;Summer;Sydney;Hockey;Hockey Women's Hockey;NA;Australie
33039;Nadine Ernsting-Krienke;F;30;172;67;Allemagne;GER;2004 Summer;2004;Summer;Athina;Hockey;Hockey Women's Hockey;Gold;Grèce
33053;Christine Errath (-Trettin, -Stber);F;15;158;50;Allemagne de l'Ouest;GDR;1972 Winter;1972;Winter;Sapporo;Figure Skating;Figure Skating Women's Singles;NA;Japon
33053;Christine Errath (-Trettin, -Stber);F;19;158;50;Allemagne de l'Ouest;GDR;1976 Winter;1976;Winter;Innsbruck;Figure Skating;Figure Skating Women's Singles;Bronze;Autriche
33066;Carl Ertel;M;28;194;90;Allemagne de l'Ouest;GDR;1988 Summer;1988;Summer;Seoul;Rowing;Rowing Men's Coxless Pairs;NA;Corée du Sud
33067;Donat Ertel;M;23;180;78;Allemagne de l'Est;FRG;1972 Winter;1972;Winter;Sapporo;Bobsleigh;Bobsleigh Men's Four;NA;Japon
33068;Hannah Ertel;F;17;168;68;Allemagne;GER;1996 Summer;1996;Summer;Atlanta;Judo;Judo Women's Half-Heavyweight;NA;États-Unis
33071;Karin Ertl (Specht-);F;26;178;65;Allemagne;GER;2000 Summer;2000;Summer;Sydney;Athletics;Athletics Women's Heptathlon;NA;Australie
33071;Karin Ertl (Specht-);F;30;178;65;Allemagne;GER;2004 Summer;2004;Summer;Athina;Athletics;Athletics Women's Heptathlon;NA;Grèce
33072;Martina Maria Ertl-Renz;F;18;162;59;Allemagne;GER;1992 Winter;1992;Winter;Albertville;Alpine Skiing;Alpine Skiing Women's Slalom;NA;France
33072;Martina Maria Ertl-Renz;F;20;162;59;Allemagne;GER;1994 Winter;1994;Winter;Lillehammer;Alpine Skiing;Alpine Skiing Women's Downhill;NA;Norvège
33072;Martina Maria Ertl-Renz;F;20;162;59;Allemagne;GER;1994 Winter;1994;Winter;Lillehammer;Alpine Skiing;Alpine Skiing Women's Giant Slalom;Silver;Norvège
33072;Martina Maria Ertl-Renz;F;20;162;59;Allemagne;GER;1994 Winter;1994;Winter;Lillehammer;Alpine Skiing;Alpine Skiing Women's Slalom;NA;Norvège
33072;Martina Maria Ertl-Renz;F;20;162;59;Allemagne;GER;1994 Winter;1994;Winter;Lillehammer;Alpine Skiing;Alpine Skiing Women's Combined;NA;Norvège
33072;Martina Maria Ertl-Renz;F;24;162;59;Allemagne;GER;1998 Winter;1998;Winter;Nagano;Alpine Skiing;Alpine Skiing Women's Super G;NA;Japon
33072;Martina Maria Ertl-Renz;F;24;162;59;Allemagne;GER;1998 Winter;1998;Winter;Nagano;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;Japon
33072;Martina Maria Ertl-Renz;F;24;162;59;Allemagne;GER;1998 Winter;1998;Winter;Nagano;Alpine Skiing;Alpine Skiing Women's Slalom;NA;Japon
33072;Martina Maria Ertl-Renz;F;24;162;59;Allemagne;GER;1998 Winter;1998;Winter;Nagano;Alpine Skiing;Alpine Skiing Women's Combined;Silver;Japon
33072;Martina Maria Ertl-Renz;F;28;162;59;Allemagne;GER;2002 Winter;2002;Winter;Salt Lake City;Alpine Skiing;Alpine Skiing Women's Super G;NA;États-Unis
